artist,genre,title,album,year,lyrics,Amazement,Calmness,Joyful activation,Nostalgia,Power,Sadness,Solemnity,Tenderness,Tension
Nirvana,Rock,You Know You’re Right,Nirvana,2002.0,I will never bother you. I will never promise to. I will never follow you. Never speak a word again. I will crawl away for good. I will move away from here. You won't be afraid of fear. No thought was put into this. And always knew it would come to this. Things have never been so swell. I have never failed to fail. He-eee-eee-eeey. He-eee-eee-eey. He-eee-eee-ey. You know you're right. I'm so warm and calm inside. I no longer have to hide. Let's talk about someone else. Steaming soup against her mouth. Nothing really bothers her. She just wants to love himself. Always knew it'd come to this. (He-eee-eee-eey). You know your rights.,0,1,0,0,0,1,0,0,0
The Mission UK,Rock,Jade,Another Fall from Grace,2016.0,"She came as Lolita dressed as Venus. And adorned with Stars. With her deft allusion and a Universe between Us. She showed me her skill with words and I showed her my Scars. Don't mistake kindness for affection, she said. Don't ever let the attention go to your Head. No more let Death divide what Life can join Together. But just remember there is nothing that can last Forever. And Jade is Benediction. She is silent Prayer. And Jade is Exaltation. The colours that I wear. And Jade is Contradiction. She is naked but never bare. Jade is a Work, a work of Fiction. Nothing more than Castles in the Air. The shorter the leash the harder I will pull. My glass is Empty when once it was Full. I wish I could be Jesus and turn water into Wine. 'Cause all my grapes have withered, withered on the vine. With a smile like Mercury, elusive and fey. There's a Beauty in the night that can't be seen by day. She's a barbed wire Angel insatiable and cruel. She destroys my resistance like the most Dazzling Jewel. And Jade is Apostasy. Abandoned Faith and Hope. Jade is Hypocrisy. She is Kaleidoscope. And Jade is Precious Stone. Impervious and Rare. And Jade will never atone. For the Flowers in her Hair. And Jade never sleeps alone. There's always someone there. With Jade. To rest their Head on her thigh. To make her moist when she is dry. To hold the Breath of every sigh. To pledge their Life and how to Die. To kiss the sleep from her Eyes. To dry the Tears when she Cries. And Jade is all and Jade is None. And Jade is Moon and she is Sun. And Jade is You and Everyone. And she is Me and and all I've done. And Jade is Lost and she is Won. And Jade is the Bullet shot from your Gun .",1,1,0,0,0,0,1,1,0
UB40,Reggae,Food For Thought,Signing Off,1980.0,"Ivory Madonna, dying in the dust. Waiting for the manna coming from the west. Barren is her bosom, empty as her eyes. Death a certain harvest scattered from the skies. Skin and bones is creeping, doesn't know he's dead. Ancient eyes are peeping, from his infant head. Politicians argue sharpening their knives. Drawing up their bargains, trading baby lives. Hear the bells are ringing, Christmas on it's way. Hear the angels singing, what is that they say? Eat and drink rejoicing, joy is hear to stay. Jesus son of Mary is born again today.",0,0,1,0,0,1,0,0,1
Alan Jackson,Country,It’s Five O’Clock Somewhere,Greatest Hits Volume II Disc 1,2003.0,"The sun is hot and that old clock is movin' slow. An' so am I. Work day passes like molasses in wintertime. But it's July. I'm gettin' paid by the hour, an' older by the minute. My boss just pushed me over the limit. I'd like to call him somethin'. I think I'll just call it a day. Pour me somethin' tall an' strong. Make it a ""Hurricane"" before I go insane. It's only half-past twelve but I don't care. It's five o'clock somewhere. Oh, this lunch break is gonna take all afternoon. An' half the night. Tomorrow mornin', I know there'll be hell to pay. Hey, but that's all right. I ain't had a day off now in over a year. Our Jamaican vacation's gonna start right here. If the phone's for me. You can tell 'em I just sailed away. And pour me somethin' tall an' strong. I could pay off my tab, pour myself in a cab. An' be back to work before two. At a moment like this, I can't help but wonder. What would Jimmy Buffett do? Funny you should ask Alan I'd say. ""Pour me somethin' tall an' strong. It's only half-past twelve but I don't care"". He don't care. I don't care. What time zone am I on? What country am I in? It doesn't matter, it's five o'clock somewhere. It's always on five in Margaritaville, come to think of it. Yeah, I heard that. You been there haven't you. Yessir. I seen your boat there. I've been to Margaritaville a few times. All right, that's good. Stumbled all the way back. Okay, just wanna make sure you can keep it between the navigational beacons. Ha ha ha, between the buoys, I tell you. All right. Well, it's five o'clock. Let's go somewhere. I'm ready, crank it up. Let's get out of here. I'm gone.",0,0,0,0,0,1,1,0,1
Snoop Dogg,Hip-Hop,Beautiful,Paid Tha Cost To Be Da Bo$$,2002.0,"Beautiful, I just want you to know. You're my favorite girl. (Yeah, oh yeah, there's something about you). I know you gon' lose it, this new Snoop shit. Come on baby boo, you gots to get into it. Don't fool with the player with the cool whip. Yeah, yeah, you know I'm always on that cool shit. Walk to it, do it how you do it. Have a glass, let me put you in the mood and. Little cutie looking like a student. Long hair with ya big fat booty. Back in the days, you was a girl I went to school with. Had to tell your moms and sister to cool it. The girl wanna do it, I just might do it. Hit her up with some pimp pimp fluid. Mommy don't worry, I won't abuse it. Hurry up and finish so we can watch Clueless. I laugh at these niggas when they ask, ""Who do this?"". But everybody know, ooh girl, that you is. When I see my baby boo, shit, I get foolish. Smack a nigga that tries to pursue it. Homeboy, she taken, just move it. I asked you nicely, don't make the Dogg lose it. We just blow dro and keep the flow moving. In a '64, me and baby boo cruisin'. Body rag interior blue, and. Have them hydraulics squeaking when we screwing. Now she's yelling, hollering out ""Snoop!"" and. Hooting, hollering; hollering, hooting. Black and beautiful, you the one I'm choosin'. Hair long, thin, black and curly like you're Cuban. Keep grooving, that's what we doin'. And we gon' be together until your moms move in. See, I just want you. To know that you are really special. Oh my, oh my, oh my, oh my. Snoop Dogg Clothing, that's what I'm groomed in. You got my pictures on the wall in your room, and. Girls be complaining you keep me boomin'. But girls like that wanna listen to Pat Boone. You's a college girl, but that don't stop you from doin'. Come and see the Dogg in a hood near you in. You don't ask why I roll with a crew, and. Twist up my fingers, and wear dark blue and. On the Eastside, that's the crew I choose. Nothing I do is new to you. I smack up the world if they rude to you. 'Cause baby girl, you're so beautiful. I just want you. Ehh... oh yeah, there's something about you... Oh-hooo!.",1,0,1,0,0,0,1,1,0
Pink Floyd,Rock,Hey You,The Wall,1979.0,"Hey you. Out there in the cold, getting lonely, getting old. Can you feel me? Standing in the aisles with itchy feet and fading smiles. Don't help them to bury the light. Don't give in without a fight. Out there on your own, sitting naked by the phone. Would you touch me? With your ear against the wall, waiting for someone to call out. Could you touch me? Would you help me to carry the stone? Open your heart, I'm coming home. But it was only fantasy. The wall was too high, as you can see. No matter how he tried, he could not break free. And the worms ate into his brain. Out there on the road, always doing what you're told. Can you help me? Out there beyond the wall, breaking bottles in the hall. Don't tell me there's no hope at all. Together we stand, divided we fall. (We fall, we fall, we fall, we fall, we fall, we fall, we fall, we fall...).",0,0,0,1,1,1,0,1,0
Placebo,Rock,Running Up That Hill,Covers,2003.0,"""If I only could, I'd be running up that hill. If I only could, I'd be running up that hill"". It doesn't hurt me. You want to feel how it feels? You want to know, know that it doesn't hurt me? You want to hear about the deal I'm making? You (be running up that hill). You and me (be running up that hill). And if I only could. Make a deal with God. I'd get him to swap our places. Be running up that road. Be running up that hill. Be running up that building. If I only could, oh. You don't want to hurt me. But see how deep the bullet lies. Unaware that I'm tearing you asunder. There's a thunder in our hearts, baby. So much hate for the ones we love. Tell me, we both matter, don't we? You and me won't be unhappy. C'mon, baby, c'mon, c'mon darling. Let me steal this moment from you now. C'mon, angel, c'mon, c'mon, darling. Let's exchange the experience, oh. And get him to swap our places. With no problem. If I only could. (If I only could. Be running up that hill).",0,0,0,0,0,1,0,1,1
The Sundays,Rock,Can’t Be Sure,"Reading, Writing, and Arithmetic ",1990.0,"Give me a story and give me a bed. Give me possessions. Oh love, luck, and money they go to my head like wildfire. It's good to have something to live for, you'll find. Live for tomorrow. Live for a job and a perfect behind, high time. England my country, the home of the free. Such miserable weather. But England's as happy as England can be. Why cry? And did you know desire's a terrible thing. The worst that I can find. But I rely on mine. Ah-ah. Did you know desire's a terrible thing. It makes the world go blind. But if desire, desire's a terrible thing. You know that I really don't mind. And it's my life. And though I can't be sure what I want any more. It will come to me later. Well it's my life. And though I can't be sure if I want any more. Ye-e-eah.",0,1,0,1,1,1,1,0,0
The Beatles,Rock,Help!,Help!,1965.0,"(Help!) I need somebody. Not just anybody. You know I need someone. (Help!). When I was younger so much younger than today. I never needed anybody's help in any way. But now these days are gone, I'm not so self assured. Now I find I've changed my mind and opened up the doors. Help me if you can, I'm feeling down. And I do appreciate you being 'round. Help me get my feet back on the ground. Won't you please, please help me? And now my life has changed in oh so many ways. My independence seems to vanish in the haze. But every now and then I feel so insecure. I know that I just need you like I've never done before. When I was younger, so much younger than today. Help me? Ooh.",0,0,0,1,0,1,0,0,1
Alan Jackson,Country,Good Time,Good Time,2008.0,"Work, work all week long. Punching that clock from dusk till dawn. Counting the days till Friday night. That's when all the conditions are right. For a good time. I need a good time. I've been working all week. And I'm tired and I don't want to sleep. And I want to have fun. It's time for a good time. I cashed my check, cleaned my truck. Put on my hat, forgot about work. Sun going down, head across town. Pick up my baby and turn it around. Good time. Ahh, I need a good time. Pig in the ground, beer on ice. Just like ole Hank taught us about. Singing along, Bocephus songs. Rowdy friends, all night long. Lord, we're having a good time. Whew!. Heel toe, do-si-do. Scooting our boots, swinging doors. B & D, Kix and Dunn. Honking tonk heaven, Double shotgun. Cause. Shot of Tequila, beer on tap. Sweet southern woman set on my lap. G with an O, O with a D. T with an I and an M and an E. And a good time. Shhheww, good time. Ahh, turn it up now!. A shot of Tequila. Beer on tap. A good looking woman. To set on my lap. A G with an O, an O with a D. A T with an I an M with an E. That spells good time. A good time. Ohh. Twelve o'clock, two o'clock, three o'clock four. Five o'clock we know we're that's going to go. Closing the door, shutting them down. Head for that Waffle House way across town. Good time? Ohh, we're having a good time. Ohh, yea, a good time. Yea, a good time.",1,0,1,0,0,0,0,0,0
